#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Administración General ,920,21300,2019-06-03,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Precio por copia B/N, Ref,: 6951/2017, Contrato: 74039037, Modelo: SP 3610SF, Num, Serie: T626HA00041, CL CAÑADA 50 , 28411 MORALZARZAL Edificio:DEPORTES D",38.82
Administración General ,920,21300,2019-06-03,A82825456,"SALTOKI CENTRO, S.A.",Fra. 6806535015|ORB OB172012N INTERRUPTOR HORARIO DATA MICRO DIGITAL 230V,106.61
Administración General ,920,21600,2019-06-03,B96840467,ONTINET.COM SL,Fra. ESET ENDPOINT PROTECTION ADVANCED EPA RENOVACION 0100 USUARIOS ADMINISTRACION PUBLICA,1370.63
Administración General ,920,22104,2019-06-03,B86635745,EMERGENCIAS Y FORMACION SANITARIA SLU,"Fra. PANTALON PIXEL BLANCO,",174.48
Administración General ,920,22104,2019-06-03,B86635745,EMERGENCIAS Y FORMACION SANITARIA SLU,"Fra. PANTALON PIXEL BLANCO,",72.84
Administración General ,920,22199,2019-06-03,B85794105,REPROMORAL SL,"Fra. ESCANEADO E IMPRESIÓN DE 69 PLANOS, TAMAÑO 0,97x1,97, impresión en papel cad 80 gr, COLOR, PLEGADOS EN A4",934.12
Administración General ,920,22199,2019-06-03,002852716A,"RODRIGUEZ*GONZALEZ,DOMINGO",Fra Lanyards blancos,227.48
Administración General ,920,22602,2019-06-03,Q7850065I,PUBLICACIONES OFICIALES-BOCAM,Fra Ominisones Padron IVTM 2019,275.14
Administración General ,920,22706,2019-06-03,B64206535,ASPY PREVENCION SLU,Fra. PREVENCION TECNICA,1497.38
Administración General ,920,62500,2019-06-03,B80352669,EQUIPAMIENTO INTEGRAL DE OFICINAS SL,"Fra. UD, SILLA ERGONÓMICA, Con respaldo MEDIO, con malla transpirable, IGNÍFUGO SEGÚN NORMA BS EN 1021-1 : 1994 PART 1 montada sobre bastidor perimetral, regulador lumbar en A",1158.7
Participación ciudadana,924,22606,2019-06-03,F83254821,"ABIERTO HASTA EL AMANECER, SCOOP. DE INICIATIVA SOCIAL",Fra. SESIÓN FORMATIVA SOBRE ASOCIACIONISMO Y RESPONSABILIDADES FISCALES Sesión formativa sobre asociacionismo y responsabilidades fiscales de 3 horas de duración,250.0
Participación ciudadana,924,22708,2019-06-03,B83117291,7 ESTRELLAS EDUCACION Y OCIO SL,"Fra. 1 Servicios de dinamización  y participación   ciudadana del Ayto, de Moralzarzal,    Exp, 881/2018,    Durante el mes de Abril de 2019,",2605.16
Parques y jardines,171,22501,2019-06-04,Q2817005H,CONFEDERACION HIDROGRAFICA DEL TAJO,Fra. Tasas Autorizacion ejecucion obra zona policia de cauces,66.6
Piscina Cubierta Municipal ,343,22700,2019-06-05,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,Fra. Mantenimiento integral Piscinas  MAYO 2019,4638.33
Administración General ,920,22709,2019-06-05,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,3.63
"Adm.General Comercio,turismo y PIMES",430,22610,2019-06-07,A28013050,CASER SEGUROS,Fra. Poliza 10804699 (5982183) - Inclmencias Feria Ole Moral 2019,424.6
Administración General ,920,22709,2019-06-07,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-06-07,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,4.84
Administración Gral Seguridad y Protección Civil,130,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración Gral Seguridad y Protección Civil,130,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,50.43
Administración Gral Seguridad y Protección Civil,130,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración Gral Seguridad y Protección Civil,130,22103,2019-06-10,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. FACTURA POLICIA LOCAL ABRIL 2019,213.96
Administración Gral Seguridad y Protección Civil,130,22110,2019-06-10,B80377971,D.S. LINEA VERDE S.L.,Fra. PROTECCION CIUDADANA,49.76
Vías públicas,153,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,4.71
Vías públicas,153,22199,2019-06-10,B81846222,"MICAD, S.L.",Fra. 3664/2019 2019/459 TINTA PLOTER URBANISMO Organo Gestor: L01280908 Oficina Contable: GE0013862 Unidad Tramitadora: GE0013857 Area Encargada: Urbanismo,151.25
Alumbrado público,165,21001,2019-06-10,A28168698,A NIT LUX SA,"Fra. MANTENIMIENTO CORRECTIVO SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL ALUMBRADO PÚBLICO E INSTALACIONES ELÉCTRICAS (EXP, 5042/2017), MANTENIMIENTO CORRECTIVO DE",8084.19
Alumbrado público,165,21001,2019-06-10,A28168698,A NIT LUX SA,"Fra. MANTENIMIENTO CORRECTIVO RELACIÓN VALORADA 2: TRABAJOS FUERA DE CONTRATO, SUSTITUCION DE PUNTOS DE LUZ EXISTENTES EN LA AVDA, SALVADOR SANCHEZ FRASCUELO, JUNTO AL CENTRO",10372.85
Gestión del Padrón Municipal de Habitantes,923,21000,2019-06-10,B81563207,ANDRIALA SL.,"Fra. Diseño, Suministro e instalación de señalización y cartelería de Rutas naturales en el Término Municipal de Moralzarzal Expediente Número: 8408/20177,     Diseño, Suminis",21659.0
Parques y jardines,171,22718,2019-06-10,000416690E,"CEREZO*TORTOSA,MARIA",Fra. SERVICIO DE MANTENIMIENTO DE PLANTAS DE INTERIOR EN EDIFICIOS MUNICIPALES MES DE ABRIL DE 2019,341.15
Parques y jardines,171,22718,2019-06-10,000416690E,"CEREZO*TORTOSA,MARIA",Fra. MANTENIMIENTO DE PLANTAS DE INTERIOR EN EDIFICIOS MUNICIPALES MES DE MAYO DE 2019,341.15
Gestión del Padrón Municipal de Habitantes,923,61000,2019-06-10,B83779983,"SERVICIOS INTEGRALES DE LA MADERA EXTERIORES, S.L.","Fra. CONTRATO SUMINISTRO, DISEÑO E INSTALACIÓN DE ELEMENTOS INFANTILES, JUVENILES Y DEPORTIVOS EN VARIAS ZONAS DEL MUNICIPIO, ADJUDICACIÓN LOTE 1 (EXP, 6273/2018)  LOTE 1 de I",57112.0
Gestión del Padrón Municipal de Habitantes,923,61000,2019-06-10,A28466548,CONALSA EQUIPAMIENTO URBANO,"Fra. SUMINISTRO DE VALLADO DE PROTECCIÓN, ELEMENTOS JUVENILES Y CIRCUITOS BIOSALUDABLES EN ZONAS VERDES MUNICIPALES - LOTE 3 (INSTALACIONES NO EJECUTADAS: VALLADO DEPORTIVO PA",120358.1
Gestión del Padrón Municipal de Habitantes,923,61000,2019-06-10,A28466548,CONALSA EQUIPAMIENTO URBANO,"Fra. SUMINISTRO, DISEÑO E INSTALACIÓN DE ELEMENTOS INFANTILES, JUVENILES Y DEPORTIVOS LOTE 4: INSTALACIÓN O RENOVACIÓN DE ZONAS DEPORTIVAS Y CREACIÓN DE ESPACIOS PARA USO DE J",79618.0
Gestión del Padrón Municipal de Habitantes,923,61000,2019-06-10,B60961554,"LAPPSET ESPAÑA VR, S.L.","Fra. 1 108 SUMINISTRO E INSTALACIï¿½N DE ELEMENTOS INFANTILES LOTE 2: INSTALACIONES INFANTILES  SINGULARES 4-12 Aï¿½OS EXPTE, Nï¿½M: 6273/2018 COMPUESTO POR:",80973.2
Gestión del Padrón Municipal de Habitantes,923,61000,2019-06-10,A28466548,CONALSA EQUIPAMIENTO URBANO,Fra. INSTALACIÓN VALLADO PARQUE PUSKAS,2456.89
Administración General de servicios sociales,230,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,29.42
Administración General de servicios sociales,230,22609,2019-06-10,G28029643,SOCIEDAD GENERAL DE AUTORES Y EDITORES,"Fra. 0003243740 CASA DE CULTURA TEATRO MUNICIPAL SALVADOR SANCHEZ FRASCUELO 26 , 11 MORALZARZAL 28411 REPRESENTACION 18/05/2019 NO HAY PAPEL (DESDE EL 17/03/2 - BEATRIZ BERGAM",271.4
Administración General de servicios sociales,230,22609,2019-06-10,B86392461,INNOVAFEMA SL,Fra. Ludoteca 18 de Mayo Ludoteca con dos monitores ratio 1/10,107.84
Asistencia a personas dependientes,234,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,35.91
Asistencia a personas dependientes,234,22601,2019-06-10,050284545J,"CRESPO*NOTARIO,JOSE ANTONIO",Fra Almuerzo 20 personas,103.6
Administración general de educación,320,21200,2019-06-10,B80713753,CE DE JARDINERIA APASCOVI SL,Fra. servicios de jardinería efectuados en los centros el educativos durante el mes de  abril de 2019,599.95
Administración general de educación,320,21300,2019-06-10,A82825456,"SALTOKI CENTRO, S.A.",Fra. 6101005420|ML TUBO PVC M-20 GRIS ENCHUFABLE RIGIDO,67.11
Administración general de educación,320,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,112.02
Administración general de educación,320,22110,2019-06-10,B80377971,D.S. LINEA VERDE S.L.,"Fra. C,P, SAN MIGUEL ARCANGEL",259.98
Administración general de educación,320,22706,2019-06-10,B85646859,AMMA  EDUCACION INTEGRAL SL,Fra. CASA DE NIÑOS MAYO DE 2019,10916.26
Gestión del Padrón Municipal de Habitantes,923,62200,2019-06-10,B30850838,URGACEN VIENA 25,Fra. CERTIFICACION Nº6 OBRAS REACONDICIONAMIENTO DE FONTANERIA Y ACABADOS EN EL CEIP EL RASO,20536.29
Gestión del Padrón Municipal de Habitantes,923,62201,2019-06-10,B49238389,TECNICOS DE DISEÑOS Y ESPACIOS S.L.U,Fra. NUMERADAS NUMERADAS,360.93
Bibliotecas y Archivos,332,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,22.64
Bibliotecas y Archivos,332,22110,2019-06-10,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CULTURA (BIBLIOTECA),60.11
Bibliotecas y Archivos,332,22609,2019-06-10,050722542K,"RODRIGUEZ*CABALLERO,ESTHER","Fra. ""Club de lectura"" mayo 2019. RC: 12019000000150",228.0
Bibliotecas y Archivos,332,22609,2019-06-10,B86519147,LIBROS VIAJEROS SL,Fra. 28-19 Sesión barrio de colores realizada en la biblioteca municipal el 25 de mayo de 2019 Contrato según registro Salidas de Cultura Número: 1114/2019 Fecha: 23/1/2019 CS,275.0
Promoción cultural,334,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Promoción cultural,334,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,106.38
Promoción cultural,334,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Promoción cultural,334,22001,2019-06-10,B40032203,IMPRENTA TALLER IMAGEN SL,Fra. TRAMITACION ISBN LIBRO DEL AGUA,133.1
Promoción cultural,334,22110,2019-06-10,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CULTURA,41.44
Promoción cultural,334,22609,2019-06-10,000275402T,"GOMEZ*RUIZ,CARLOS",Fra 600 barras pan Cruz de Mayo 2019,360.0
Promoción cultural,334,22609,2019-06-10,A79524054,URBASER S A,"Fra. IMPORTE POR LA PUESTA A DISPOSICION DE UN EQUIPO DE LIMPIEZA EN EL PARQUE DE LA TEJERA DE MORALZARZAL POR JORNADA DIURNA (6H), A SITUAR EN LAS ZONAS PROPUESTAS Y SU POSTE",456.5
Promoción cultural,334,22609,2019-06-10,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de sonido el día 10 de mayo,",193.6
Promoción cultural,334,22609,2019-06-10,B43728096,ACUSMATIC INGENIERIA ACUSTICA Y TELEC S.L.L.,"Fra. Servicios prestados por Jorge Fides como técnico de sonido el día 11 de mayo,",193.6
Promoción cultural,334,22609,2019-06-10,B85849925,"ECOFERSA SISTEMAS INTEGRALES, SL",Fra. Servicios prestados en evento: CRUZ DE MAYO 2019 - Importe procedente del presupuesto P2019001361,336.99
Promoción cultural,334,22718,2019-06-10,B40032203,IMPRENTA TALLER IMAGEN SL,Fra. LIBRO DEL AGUA,5509.92
Promoción cultural,334,62300,2019-06-10,A46232799,CINEMANEXT SPAIN SA,Fra.  SUMINISTRO E INSTALACIÓN DE UN EQUIPO DIGITAL DCI 2K Y EQUIPOS AUXILIARES EN EL TEATRO MUNICIPAL DE MORALZARZAL (EXP 7818/2018),54430.99
Instalaciones de ocupación del tiempo libre,337,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,26.0
Fiestas populares y festejos,338,22608,2019-06-10,A82825456,"SALTOKI CENTRO, S.A.",Fra. 7051134104|PHI 20235245 LAMPARA HPI-T 2000W/642 E40 380V CRP/4V,63.41
Juventud,339,22609,2019-06-10,002852716A,"RODRIGUEZ*GONZALEZ,DOMINGO",Fra pulseras tyvek grabadas,193.6
Administración General de Deportes,340,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General de Deportes,340,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,52.15
Administración General de Deportes,340,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General de Deportes,340,21300,2019-06-10,A82825456,"SALTOKI CENTRO, S.A.",Fra. 7051134104|PHI 20235245 LAMPARA HPI-T 2000W/642 E40 380V CRP/4V,1505.66
Administración General de Deportes,340,22300,2019-06-10,A28741262,FRANCISCO LARREA SA,Fra. Traslado Moral a Hoyo Mnzanares 18/05/19 40 pax,159.5
Administración General de Deportes,340,22300,2019-06-10,A28741262,FRANCISCO LARREA SA,Fra. Traslado Moral a Guadarrama 25/05/19 55pax,159.5
Administración General de Deportes,340,22300,2019-06-10,A28741262,FRANCISCO LARREA SA,Fra. Traslado Moral a Las Rozas 11/05/19 40 pax,638.0
Administración General de Deportes,340,22300,2019-06-10,A28741262,FRANCISCO LARREA SA,Fra. Traslado de Moral a Arganda 19/05/19 25pax,159.5
Administración General de Deportes,340,22700,2019-06-10,B28536092,LIMPIEZAS UNIDAS SL,Fra. 1 Limpieza de las dependencias Municipales durante el mes de ABRIL 2019,4780.21
Piscina Cubierta Municipal ,343,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,59.65
Piscina Cubierta Municipal ,343,21300,2019-06-10,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,Fra. PARTES MANT MAYO  2019,1504.9
Piscina Cubierta Municipal ,343,22700,2019-06-10,B28536092,LIMPIEZAS UNIDAS SL,Fra. 1 Limpieza de las dependencias Municipales durante el mes de ABRIL 2019,4046.74
Piscina Cubierta Municipal ,343,22708,2019-06-10,B83821967,CENTRO INTEGRAL DE MASAJE HIDRO-SIERRA SL,"Fra. MANTEN,MECANICO MANTENIMIENTO MECANICO  MAYO 2019",2325.22
Órganos de gobierno,912,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",170.61
Órganos de gobierno,912,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",170.61
Órganos de gobierno,912,22199,2019-06-10,B85826204,ECOBOLSA BOLSAS ECOLOGICAS SL,"Fra. BOLSAS DE PAPEL SIN ASA Material: Kraft Liso ECO 80 Grs, Medida: 18+8X24 (Ancho +Fuelle x Alto) Impresión: Cuatricomia a 1 cara,",1181.72
Órganos de gobierno,912,22605,2019-06-10,J87502357,A6 COMUNICA SC,Fra. BANNER WEB CINE EFÍMERO,242.0
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",85.91
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",171.82
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General ,920,21300,2019-06-10,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,87.9
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",171.82
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",85.91
Administración General ,920,21300,2019-06-10,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración General ,920,22709,2019-06-10,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,6.05
Administración General ,920,62601,2019-06-10,B81846222,"MICAD, S.L.","Fra. 2397/2019 2019/451 Impresora de Gran Formato multifunción HP Designjet T830 mfp 24"" 3 años de garantía Número de serie: CN9317M036 Organo Gestor: L01280908 Oficina Contab",3363.8
Administración Gral Seguridad y Protección Civil,130,21300,2019-06-11,B46001897,THYSSENKRUPP ELEVADORES SL,"Fra. POR EL SERVICIO DE MANTENIMIENTO DEL NUMERO DE APARATOS INDICADOS Dirección de Instalación: AV/SALVADOR SANCHEZ FRASCUELO ,26 - Moralzarzal Periodo Facturado: 01/05/2019",74.2
Administración Gral Seguridad y Protección Civil,130,22200,2019-06-11,A47436019,GRUPALIA INTERNET S.A.,Fra. PUESTO DE VOZ DE OPERADORA Periodo: 01/05/2019 al 31/05/2019,82.47
Administración Gral Seguridad y Protección Civil,130,22200,2019-06-11,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/05/2019 al 31/05/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,68.98
Administración Gral Seguridad y Protección Civil,130,22719,2019-06-11,B85363687,GTRES GRUAS ANTONIO SL,Fra. SERVICIO GRUA MES MAYO,1331.0
Gestión del Padrón Municipal de Habitantes,923,21400,2019-06-11,B14602403,LOST SIMETRY SLU,"Fra. TRABAJOS A REALIZAR PARA MODIFICAR VEHICULO AMBULANCIA A FURGON VEHICULO INTERVENCION RAPIDA ATT, CARLOS",3993.0
Protección civil,135,21400,2019-06-11,B86747219,CARROCERIAS LAS MATAS SL,Fra. SEGUN FACTURA ADJUNTA 6594FNP,16.0
Protección civil,135,22200,2019-06-11,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/05/2019 al 31/05/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,85.49
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22200,2019-06-11,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/05/2019 al 31/05/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,119.98
Vías públicas,153,22200,2019-06-11,A47436019,GRUPALIA INTERNET S.A.,Fra. GMOVIL PLAN AHORRO ON Periodo: 01/05/2019 al 31/05/2019 10 lineas VOZ + 12GB 608923547 609045018 609047341 609072813 616317043 620388579 620420170 626997918 699064439 650,68.98
Gestión del Padrón Municipal de Habitantes,923,04IFS,2019-06-11,B86788338,AZ2013 ARQUITECTURA E INGENIERIA SL,"Fra. DIRECCION FACULTATIVA OBRA PARKING C, LOS LINARES, ACERADO CAMINO DE LOS LINARES,(EXP, 8721/2018)",2256.44
Gestión del Padrón Municipal de Habitantes,923,26105,2019-06-11,A28602696,HILARIO RICO MATELLANO SA,Fra. CERTIFICACION Nº 3 CORRESPONDIENTE A LAS OBRAS DE APARCAMIENTO CAMINO DE LOS LINARES EN MORALZARZAL,26128.18
Gestión del Padrón Municipal de Habitantes,923,00IFS,2019-06-11,A78315850,INESCO S.A.,"Fra. 2ª FACTURA CORRESPONDIENTE A LA 2ª CERTIFICACION DE LA EJECUCION DE SUSTITUCION DE RED DE ABASTECIMIENTO ZONA PASEO DE LOS ENEBROS Y CALLES MULHACEN, BUITRAGO Y SIETE PIC",105428.76
Gestión del Padrón Municipal de Habitantes,923,00IFS,2019-06-11,A78315850,INESCO S.A.,"Fra. 1ª FACTURA CORRESPONDIENTE A LA 1ª CERTIFICACION DE LA EJECUCION DE SUSTITUCION DE RED DE ABASTECIMIENTO ZONA PASEO DE LOS ENEBROS Y CALLES MULHACEN, BUITRAGO Y SIETE PIC",56401.4
